Country,Population 2010 (thousands),GDP 2013 ($m)
Tonga,104.1,439.5
Turkey,72137.5,822148.9
Trinidad and Tobago,1328.1,24462.5
Tuvalu,9.8,38.3
Tanzania,44973.3,33224.9
Ukraine,46050.2,182025.6
Uganda,33987.2,26443.7
United States,312247.1,16768100.0
Uruguay,3372.0,55708.0
Uzbekistan,27769.3,57209.8
Vatican City,0.8,
Saint Vincent and the Grenadines,109.3,
Venezuela,29043.3,371339.0
British Virgin Islands,27.2,915.6
U.S. Virgin Islands,106.4,
Vietnam,89047.4,171222.0
Vanuatu,236.3,800.0
Wallis and Futuna,13.6,
Samoa,186.0,691.4
Yemen,22763.0,34714.0
Mayotte,204.4,
South Africa,51452.4,366059.7
Zambia,13217.0,22383.7
Zimbabwe,13077.0,13490.2
