FULLNAME,POPULATION1950,POPULATION1951,POPULATION1952,POPULATION1953,POPULATION1954,POPULATION1955,POPULATION1956,POPULATION1957,POPULATION1958,POPULATION1959,POPULATION1960,POPULATION1961,POPULATION1962,POPULATION1963,POPULATION1964,POPULATION1965,POPULATION1966,POPULATION1967,POPULATION1968,POPULATION1969,POPULATION1970,POPULATION1971,POPULATION1972,POPULATION1973,POPULATION1974,POPULATION1975,POPULATION1976,POPULATION1977,POPULATION1978,POPULATION1979,POPULATION1980,POPULATION1981,POPULATION1982,POPULATION1983,POPULATION1984,POPULATION1985,POPULATION1986,POPULATION1987,POPULATION1988,POPULATION1989,POPULATION1990,POPULATION1991,POPULATION1992,POPULATION1993,POPULATION1994,POPULATION1995,POPULATION1996,POPULATION1997,POPULATION1998,POPULATION1999,POPULATION2000,POPULATION2001,POPULATION2002,POPULATION2003,POPULATION2004,POPULATION2005,POPULATION2006,POPULATION2007,POPULATION2008,POPULATION2009,POPULATION2010,GDP1970,GDP1971,GDP1972,GDP1973,GDP1974,GDP1975,GDP1976,GDP1977,GDP1978,GDP1979,GDP1980,GDP1981,GDP1982,GDP1983,GDP1984,GDP1985,GDP1986,GDP1987,GDP1988,GDP1989,GDP1990,GDP1991,GDP1992,GDP1993,GDP1994,GDP1995,GDP1996,GDP1997,GDP1998,GDP1999,GDP2000,GDP2001,GDP2002,GDP2003,GDP2004,GDP2005,GDP2006,GDP2007,GDP2008,GDP2009,GDP2010,GDP2011,GDP2012,GDP2013,NAME
Egypt,21514.024,22020.347,22561.877,23137.661,23746.513,24387.004,25057.463,25755.976,26480.417,27228.47,27997.745,28785.879,29590.639,30409.962,31241.836,32083.955,32937.066,33798.82,34660.399,35510.567,36342.268,37152.209,37945.429,38733.784,39533.995,40359.038,41212.513,42093.668,43005.773,43951.351,44931.971,45945.655,46991.385,48071.851,49190.419,50346.551,51545.011,52776.85,54011.214,55207.254,56336.614,57387.589,58370.712,59307.778,60231.864,61168.397,62123.592,63094.069,64084.443,65097.777,66136.59,67204.189,68302.914,69432.477,70591.288,71777.678,72990.754,74229.577,75491.922,76775.023,78075.705,8142.813716,8629.234277,9226.975132,9589.429095,11333.9163,12677.62656,14974.32079,19135.59851,23431.87516,15615.51804,20119.00951,13490.79489,15747.23083,18933.06985,21604.4461,23801.08412,24765.26681,27393.56527,29855.47368,32820.15213,36013.49455,39199.91416,45789.04545,50619.96601,56527.97853,65758.03643,73961.36405,81571.75604,87146.29812,91906.11631,95683.64442,90724.34084,86521.73014,74076.4356,79187.40512,94456.32181,107741.5041,132165.3466,164843.9945,187977.6317,214629.7139,231100.3084,260149.0629,255198.9899,EG
Western Sahara,13.766,16.061,17.576,18.727,19.839,21.149,22.798,24.837,27.239,29.913,32.758,35.723,38.853,42.309,46.314,50.969,56.624,63.123,69.478,74.336,76.875,76.373,73.481,70.407,70.21,74.956,85.614,101.178,119.326,136.695,150.872,161.073,168.075,172.919,177.289,182.421,188.577,195.354,202.555,209.797,216.828,223.795,230.948,238.261,245.691,253.302,260.811,268.469,277.502,289.539,305.615,326.349,351.054,377.841,404.054,427.782,448.326,466.239,482.387,498.18,514.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EH
Eritrea,1141.3,1161.581,1183.455,1206.765,1231.393,1257.258,1284.317,1312.565,1342.028,1372.758,1404.81,1438.217,1472.966,1508.999,1546.225,1584.606,1624.256,1665.301,1707.748,1751.59,1796.912,1843.624,1891.998,1942.922,1997.553,2056.693,2120.634,2189.07,2261.435,2336.862,2414.647,2493.745,2573.931,2656.189,2742.004,2831.894,2928.032,3028.719,3126.1,3209.606,3272.563,3311.719,3331.918,3344.626,3365.933,3407.812,3473.399,3560.353,3668.35,3795.384,3939.348,4101.609,4281.576,4472.533,4665.522,4854.066,5035.036,5209.846,5382.163,5557.889,5741.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.4161458,387.406228,437.0348836,505.0714877,630.7669725,639.7237197,748.4554493,782.0658201,809.3089569,793.7007993,706.3708123,752.3716821,729.3216689,870.2482922,1109.054002,1098.424709,1211.161879,1317.974493,1380.1888,1856.69555,2117.039511,2607.796751,3091.990888,3437.622726,ER
Spain,28069.737,28239.243,28432.93,28643.597,28866.117,29097.441,29336.714,29585.156,29845.729,30122.568,30419.288,30737.176,31073.61,31421.382,31770.614,32114.414,32448.729,32775.861,33102.94,33440.523,33795.638,34168.93,34555.717,34950.999,35347.607,35739.162,36124.486,36501.478,36861.663,37194.771,37493.383,37755.072,37981.29,38173.761,38336.018,38471.834,38581.599,38667.885,38739.679,38808.408,38883.045,38972.944,39079.959,39196.948,39312.212,39420.568,39513.721,39603.778,39729.942,39944.692,40282.828,40756.675,41346.738,42015.864,42710.301,43387.477,44038.456,44664.067,45243.381,45754.265,46182.038,39764.59807,45221.69635,57364.72601,76295.40814,94360.21398,111332.6076,114959.8441,128471.6789,155796.0496,208160.2202,225776.78,196746.774,190136.871,165825.8011,166950.2281,175381.8163,243792.6607,309194.3298,364895.7377,402356.8318,520460.6517,559863.0655,612011.6641,509384.4159,514671.8863,596206.8255,622103.2506,572508.8896,600662.2058,617563.5579,580345.0492,608850.9275,686327.0963,883805.6471,1044612.07,1130798.886,1236352.422,1441427.52,1593420.676,1454335.844,1384844.7,1454534.453,1322481.642,1358262.668,ES
Ethiopia,18128.034,18466.88,18819.589,19184.205,19559.958,19947.265,20347.803,20764.438,21201.005,21661.945,22151.218,22671.134,23221.344,23798.397,24396.981,25013.551,25641.137,26280.676,26945.326,27653.511,28414.999,29246.389,30135.531,31029.594,31856.458,32569.908,33145.955,33615.472,34054.601,34570.544,35241.209,36094.424,37110.033,38259.33,39493.61,40777.189,42100.969,43477.401,44916.621,46435.325,48042.755,49743.883,51525.658,53357.867,55199.953,57023.519,58815.116,60584.273,62353.942,64158.887,66024.199,67956.866,69948.344,71989.666,74066.147,76167.24,78290.649,80440.708,82621.19,84838.032,87095.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11207.79079,12786.20558,10229.79877,7382.76673,7147.530061,7586.836819,8235.652824,8521.562903,7726.621812,7328.478793,8030.202592,7963.475849,7691.105599,8454.119435,9935.641483,12163.59194,14983.27234,18991.91943,25608.60995,28194.22202,26311.26597,29921.24179,41717.85342,46017.35144,ET
Finland,4008.299,4049.689,4095.13,4142.353,4189.559,4235.423,4279.108,4320.25,4358.901,4395.427,4430.228,4463.432,4494.623,4522.727,4546.343,4564.69,4577.033,4584.264,4589.226,4595.807,4606.74,4623.389,4644.847,4668.813,4691.818,4711.459,4726.803,4738.949,4749.94,4762.758,4779.454,4800.899,4826.135,4853.196,4879.222,4902.219,4921.293,4937.259,4951.886,4967.776,4986.705,5009.381,5034.898,5061.465,5086.499,5108.176,5126.021,5140.755,5153.229,5164.78,5176.482,5188.33,5200.259,5213.213,5228.34,5246.368,5267.817,5292.261,5318.297,5343.927,5367.693,11366.19346,12537.21835,14754.86506,19487.63772,24867.37074,29494.23653,31870.84628,33524.75385,36283.77882,44494.98189,53688.90183,52487.48941,52829.782,51012.95972,52925.90076,55913.63301,73583.90936,91644.45372,109102.7359,119059.6449,141524.828,127857.3778,112627.2663,89252.1751,103317.8385,134195.58,132102.8842,126827.794,133935.2641,135221.9387,125539.7967,129248.9553,139559.3312,171064.5094,196776.6168,204430.9307,216541.41,255371.5078,283753.0039,251483.8785,247799.8158,273674.2368,255776.2259,267328.6137,FI
Fiji,288.993,296.206,304.813,314.352,324.48,334.976,345.746,356.817,368.32,380.452,393.383,407.152,421.576,436.208,450.452,463.884,476.329,487.911,498.887,509.659,520.529,531.601,542.811,554.109,565.386,576.592,587.522,598.256,609.344,621.537,635.256,650.966,668.219,685.422,700.394,711.663,718.493,721.594,722.707,724.355,728.339,735.209,744.34,754.923,765.664,775.587,784.647,793.098,800.616,806.857,811.647,814.7,816.237,817.224,818.995,822.484,828.06,835.392,843.851,852.479,860.559,222.7429729,249.384947,319.5420514,429.944055,564.3248196,690.8192695,702.2375876,726.7821726,837.5474564,1029.923284,1215.34258,1248.319286,1205.891937,1134.421966,1189.821079,1152.540131,1303.78822,1189.884654,1121.693415,1267.493602,1350.75061,1398.098464,1548.689314,1653.889577,1844.416342,2010.725505,2132.663764,2141.992099,1694.927731,1986.538767,1722.817024,1697.082862,1883.36881,2365.232968,2785.563724,3006.564293,3102.502142,3404.99084,3523.166619,2870.622324,3140.475332,3646.453792,3849.836879,4033.927847,FJ
Falkland Islands,2.261,2.247,2.235,2.224,2.213,2.202,2.191,2.18,2.168,2.156,2.144,2.131,2.117,2.104,2.089,2.074,2.058,2.041,2.024,2.008,1.991,1.975,1.96,1.946,1.932,1.917,1.903,1.889,1.877,1.866,1.856,1.85,1.846,1.845,1.849,1.856,1.867,1.881,1.905,1.941,1.993,2.062,2.144,2.239,2.338,2.439,2.541,2.642,2.737,2.818,2.881,2.922,2.942,2.949,2.952,2.957,2.966,2.979,2.992,3.006,3.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FK
Micronesia,148.143,151.163,154.102,157.054,160.094,163.295,166.708,170.368,174.305,178.535,183.056,187.87,192.977,198.362,204.016,209.906,216.077,222.482,228.905,235.056,240.747,245.921,250.692,255.277,259.985,265.066,270.543,276.426,282.953,290.392,298.922,308.637,319.433,331.016,342.966,354.957,366.844,378.628,390.296,401.88,413.371,424.721,435.791,446.388,456.271,465.259,473.286,480.352,486.403,491.405,495.357,498.306,500.33,501.483,501.839,501.519,500.503,498.972,497.516,496.876,497.585,21.089254,23.10129,26.619824,36.928568,48.884465,48.909927,49.645931,50.168092,56.903692,63.917856,68.070677,81.1,84.9,89.2,89.8,108.1,119,124.2,137.3,144.5,157.9,175.9,189.1,206.6,213.7,222.626698,219.264487,207.370363,220.085753,221.096253,233.611434,240.367264,241.738185,245.121227,239.646252,249.970505,253.188739,255.715811,261.555906,277.449734,294.381235,309.816587,326.160961,333,FM
Faeroe Islands,31.504,31.287,31.218,31.292,31.497,31.818,32.233,32.715,33.236,33.762,34.266,34.73,35.153,35.55,35.946,36.363,36.804,37.258,37.718,38.164,38.587,38.983,39.36,39.731,40.116,40.529,40.974,41.447,41.946,42.468,43.01,43.559,44.105,44.661,45.239,45.84,46.501,47.194,47.789,48.105,48.031,47.496,46.58,45.512,44.609,44.099,44.058,44.413,45.05,45.788,46.491,47.135,47.751,48.308,48.782,49.157,49.414,49.554,49.601,49.6,49.581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FO
France,41831.805,41984.627,42253.113,42593.478,42973.453,43372.283,43781.334,44203.486,44651.317,45144.083,45698.64,46319.765,46991.687,47674.457,48314.234,48873.531,49332.789,49705.054,50025.387,50346.115,50703.897,51112.808,51557.612,52010.691,52431.048,52790.52,53079.559,53312.106,53511.819,53713.206,53941.252,54203.142,54491.212,54797.571,55108.738,55414.446,55714.349,56011.191,56301.235,56580.292,56845.705,57098.001,57339.096,57569.991,57792.298,58008.958,58216.225,58418.324,58635.564,58894.671,59213.096,59600.714,60047.743,60527.64,61002.537,61444.972,61845.239,62210.877,62552.614,62888.318,63230.866,148943.4409,166572.5002,204273.961,265372.9998,286517.7421,362017.0764,373413.2863,411470.4291,508170.0958,615851.5375,703541.9511,617589.0985,586831.0435,561872.2438,532661.9139,555201.6807,774574.0052,938341.2206,1023470.318,1030076.372,1275262.974,1275508.868,1408659.045,1330161.443,1401624.136,1609797.583,1614335.711,1460713.705,1510804.111,1500233.411,1368434.549,1382206.871,1500407.039,1848055.145,2124204.553,2203626.324,2324896.584,2662975.826,2923573.947,2693669.357,2646835.787,2862674.582,2686723.874,2806431.961,FR
Gabon,473.3,475.845,477.667,479.163,480.66,482.411,484.592,487.306,490.593,494.438,498.823,503.762,509.348,515.762,523.236,531.901,541.895,553.098,565.08,577.241,589.165,600.692,611.99,623.375,635.318,648.174,662.036,676.829,692.535,709.092,726.454,744.624,763.639,783.527,804.319,826.025,848.654,872.158,896.429,921.314,946.703,972.539,998.823,1025.559,1052.772,1080.477,1108.698,1137.412,1166.525,1195.919,1225.527,1255.299,1285.318,1315.82,1347.125,1379.465,1412.907,1447.388,1482.843,1519.155,1556.222,409.8689806,483.1392698,544.9372228,915.0559992,1955.448642,2732.530875,3810.952922,3557.496794,3025.973772,3837.387705,5421.358871,4891.487764,4581.699102,4295.571666,4509.498882,4639.097509,4392.141586,4300.463929,4309.517557,4636.843739,6039.491585,6013.426381,6224.479113,6016.949369,4664.441901,5519.177404,6337.446077,5951.611064,5014.553027,5162.416157,5676.783493,5181.61435,5403.31383,6557.29171,7844.136206,9578.972813,10318.42427,12438.95721,15508.57636,12065.2084,12882.00377,16979.81621,15968.42849,16970.07623,GA
United Kingdom,50616.012,50631.591,50706.847,50829.945,50991.499,51184.569,51404.802,51650.292,51921.171,52218.922,52544.326,52895.269,53264.824,53640.431,54006.221,54349.873,54665.974,54953.995,55212.77,55442.983,55645.296,55819.395,55964.588,56081.341,56170.573,56234.128,56272.914,56290.495,56294.894,56296.267,56302.877,56317.411,56341.201,56379.241,56436.696,56516.86,56623.133,56754.312,56903.133,57059.077,57214.478,57367.467,57520.27,57674.335,57832.501,57997.197,58168.519,58346.633,58534.306,58735.006,58951.444,59183.774,59431.937,59697.954,59984.118,60291.414,60620.907,60970.36,61333.257,61700.797,62066.35,129729.9764,146736.5063,168604.1664,190279.0997,205551.5518,245732.0449,236114.0673,266685.7971,337948.9001,439165.1236,563300.5277,535308.6303,510288.6128,484034.26,456142.9359,482559.9363,592943.8305,728159.3459,884770.8923,893366.2373,1059572.077,1108510.763,1149930.162,1036208.338,1122600.909,1235629.465,1304591.982,1438651.022,1529079.037,1558426.232,1548591.696,1529193.628,1674358.411,1943801.558,2298126.991,2412116.4,2582815.892,2963265.224,2791855.193,2308925.879,2407933.768,2591846.114,2614946.488,2678454.887,GB
Grenada,76.676,76.626,77.135,78.103,79.432,81.028,82.797,84.647,86.495,88.256,89.861,91.26,92.424,93.354,94.066,94.579,94.878,94.962,94.875,94.682,94.43,94.18,93.937,93.629,93.151,92.453,91.435,90.187,89.07,88.571,89.004,90.575,93.091,95.981,98.44,99.907,100.146,99.381,98.063,96.871,96.286,96.455,97.201,98.302,99.403,100.253,100.796,101.125,101.302,101.441,101.62,101.849,102.099,102.369,102.655,102.951,103.26,103.586,103.932,104.296,104.677,19.23141899,24.34513738,32.531527,40.08142303,41.4380275,50.97552007,51.05292885,57.18968593,73.37142889,86.27423963,86.01873852,92.27851815,101.9449804,107.6937574,117.0621348,132.5199578,149.212703,172.9317315,191.0723167,209.2554859,230.4195022,241.5338044,246.1328263,251.4395533,263.1425174,277.2505556,298.3551722,321.2311689,352.9566519,379.9164567,520.0481481,520.4444444,540.337037,591.0185185,599.1185185,695.3703704,698.7,758.6851852,825.9814815,771.2740741,771.0111111,778.6518519,801.5,830.5259259,GD
Georgia,3527.004,3584.698,3646.321,3710.132,3774.81,3839.464,3903.647,3967.337,4030.874,4094.846,4159.769,4225.733,4292.101,4357.379,4419.583,4477.328,4529.961,4577.953,4622.441,4665.146,4707.327,4749.544,4791.48,4832.51,4871.634,4908.265,4942.018,4973.542,5004.521,5037.237,5073.241,5111.792,5151.85,5194.091,5239.352,5287.328,5340.061,5394.998,5441.772,5466.61,5460.309,5418.449,5345.625,5252.851,5156.08,5067.143,4990.097,4922.489,4861.848,4803.312,4743.591,4682.29,4621.837,4564.938,4515.28,4475.306,4446.032,4426.077,4412.502,4401.093,4388.674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8444.70151,6864.298626,3896.342438,2820.626238,2581.608065,2703.383199,3063.410997,3510.543353,3613.498183,2800.026344,3057.970819,3219.461868,3395.778501,3991.37454,5125.763952,6410.935462,7745.256708,10172.92042,12795.116,10766.89226,11638.26478,14434.65909,15846.87233,16127.05083,GE
French Guiana,25.479,26.225,26.867,27.444,27.993,28.547,29.136,29.79,30.534,31.391,32.377,33.504,34.774,36.181,37.71,39.346,41.099,42.959,44.869,46.753,48.56,50.281,51.945,53.579,55.232,56.949,58.741,60.635,62.712,65.074,67.801,70.883,74.317,78.177,82.55,87.475,93.021,99.099,105.393,111.473,117.039,121.98,126.408,130.516,134.609,138.921,143.455,148.176,153.234,158.806,164.993,171.899,179.433,187.255,194.893,202.01,208.479,214.405,219.978,225.493,231.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GF
Ghana,4980.878,5068.464,5191.283,5339.271,5504.377,5680.556,5863.86,6052.353,6245.852,6445.506,6652.516,6866.78,7085.698,7303.664,7513.51,7710.761,7891.194,8057.629,8221.194,8397.508,8597.133,8827.429,9083.737,9350.286,9604.475,9831.636,10023.738,10190.202,10354.855,10551.189,10802.497,11118.132,11488.683,11895.742,12311.805,12716.887,13104.616,13480.997,13853.171,14233.006,14628.693,15043.053,15471.695,15907.265,16339.278,16760.926,17169.151,17568.461,17968.83,18384.302,18825.034,19293.392,19786.307,20301.686,20835.514,21384.034,21947.779,22525.659,23110.139,23691.533,24262.901,3549.056275,3874.305991,3385.529642,3166.209477,3687.097971,3527.758949,3590.035806,3899.420518,4526.933369,4777.503653,5232.383144,5520.957389,5457.617363,5414.101093,6090.99418,6605.220883,7089.722406,7619.233488,8329.810238,8416.109938,9982.616381,11223.7863,11037.47626,9566.433205,8728.39324,10360.67816,11110.9345,11043.83515,11990.36234,12368.74906,7985.323264,8517.410028,9881.711717,12231.90616,14233.02287,17198.50535,20410.33166,24757.55305,28528.01459,25977.85349,32174.21079,39199.65605,41740.92649,47829.61205,GH
Gibraltar,20.498,20.644,20.773,20.879,20.961,21.022,21.073,21.127,21.208,21.336,21.529,21.797,22.133,22.51,22.894,23.256,23.59,23.901,24.185,24.438,24.661,24.844,24.991,25.121,25.266,25.443,25.666,25.922,26.185,26.409,26.568,26.651,26.671,26.65,26.621,26.611,26.623,26.653,26.7,26.76,26.833,26.924,27.035,27.146,27.235,27.285,27.28,27.234,27.191,27.215,27.351,27.618,27.992,28.413,28.796,29.08,29.242,29.304,29.296,29.267,29.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GI
Greenland,22.998,23.47,23.941,24.469,25.094,25.845,26.728,27.734,28.842,30.021,31.238,32.474,33.73,35.038,36.441,37.963,39.616,41.36,43.1,44.703,46.075,47.19,48.073,48.74,49.231,49.582,49.784,49.848,49.864,49.947,50.176,50.587,51.158,51.834,52.532,53.189,53.799,54.371,54.879,55.296,55.603,55.786,55.854,55.845,55.817,55.809,55.832,55.876,55.948,56.049,56.174,56.337,56.534,56.732,56.881,56.953,56.925,56.817,56.675,56.569,56.546,68.35101661,87.0816828,104.3172752,137.7971571,167.0619262,207.6412988,236.731104,277.5237736,350.0019541,413.5731085,468.0474933,428.4223837,395.6371017,409.1864183,372.9932011,405.934343,592.8772755,774.1513614,883.4985919,914.1663613,1001.844268,999.4087102,1020.464712,911.6240639,988.974722,1188.626166,1177.380758,1054.127335,1130.524554,1112.529279,1050.067353,1067.907899,1149.478971,1402.467841,1619.079995,1650.34993,1811.232805,2039.9725,2301.824018,2314.737667,2287.131662,2503.747857,2349.254634,2418.366494,GL
Gambia,271.372,272.719,276.771,283.502,292.713,304.033,316.906,330.603,344.265,356.966,367.929,376.736,383.525,389.07,394.552,400.865,408.182,416.342,425.509,435.8,447.283,460.193,474.538,489.86,505.512,521.07,536.409,551.823,567.828,585.155,604.371,625.413,648.202,673.23,701.097,732.092,766.598,804.134,843.06,881.146,916.811,949.479,979.666,1008.242,1036.58,1065.746,1095.93,1126.986,1159.271,1193.143,1228.863,1266.691,1306.667,1348.548,1391.934,1436.549,1482.324,1529.406,1577.984,1628.332,1680.64,96.34805811,101.0396955,131.5438514,224.1564638,293.4472761,351.8484683,323.4916397,341.7383304,406.252265,445.4034123,503.9801402,533.8438698,535.8824455,529.8004278,518.5812653,654.3294385,444.5417804,497.1610522,623.5694338,648.2255807,707.640378,690.311097,714.2542625,755.0409385,746.4939592,785.9998821,848.2394009,803.6333664,840.2852689,814.7240598,782.9138661,687.4093938,578.2358265,487.0400428,578.7862727,624.1725118,655.0694842,798.8684044,965.769736,900.6408454,951.8257927,904.2560266,914.0954772,901.8914735,GM
Guinea,3093.651,3141.578,3185.626,3228.254,3271.36,3316.283,3363.773,3414.02,3466.721,3521.188,3576.684,3632.778,3689.661,3748.272,3809.929,3875.205,3944.983,4017.946,4089.829,4154.897,4209.201,4252.126,4285.526,4311.157,4331.801,4350.256,4366.83,4383.225,4405.432,4440.982,4495.479,4573.076,4673.637,4793.275,4925.668,5067.026,5211.764,5363.069,5535.918,5750.861,6020.113,6351.76,6734.242,7136.11,7514.053,7837.173,8094.751,8296.478,8457.221,8600.911,8746.128,8895.353,9045.748,9204.581,9379.621,9576.331,9798.963,10046.967,10314.678,10593.248,10876.033,573.210394,634.6369158,677.4416777,725.4994887,832.1859924,935.4170825,1064.950074,1093.082388,1249.336875,1336.143035,1494.541734,1644.03178,1777.455074,1871.658824,1965.198846,2129.485509,2240.094736,2373.057995,2611.072007,2663.345537,2920.391997,3085.365407,3324.12016,3306.815556,3464.727129,3933.040539,4115.58901,4018.585674,3668.328196,3552.655215,3192.277748,3047.012745,3050.296966,3442.386229,3631.88489,2934.85777,3048.215586,4682.053628,5310.243556,5309.676741,5232.837646,5599.157846,6192.690608,7218.544075,GN
Guadeloupe,209.999,213.055,217.248,222.551,228.874,236.061,243.886,252.057,260.232,268.044,275.169,281.412,286.768,291.459,295.84,300.17,304.493,308.691,312.661,316.246,319.329,321.989,324.287,326.081,327.184,327.525,326.975,325.75,324.558,324.341,325.763,329.071,334.029,340.205,346.933,353.694,360.418,367.161,373.672,379.671,384.979,389.426,393.07,396.253,399.474,403.085,407.199,411.694,416.4,421.046,425.436,429.53,433.39,437.037,440.52,443.875,447.101,450.18,453.115,455.91,458.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP
Equatorial Guinea,225.536,230.057,232.757,234.512,235.993,237.676,239.826,242.509,245.617,248.905,252.115,255.1,257.94,260.99,264.743,269.427,275.47,282.444,288.702,292.014,290.905,284.911,274.892,262.376,249.567,238.237,228.527,220.438,215.403,215.109,220.589,232.708,250.776,272.313,293.825,312.772,328.255,340.942,351.776,362.355,373.851,386.418,399.625,413.387,427.503,441.829,456.389,471.288,486.542,502.169,518.179,534.592,551.399,568.552,585.983,603.648,621.517,639.618,658.025,676.851,696.167,20.26964753,21.04748976,20.13308275,25.61100079,27.22895866,33.70966833,35.01801453,38.79539128,43.93260618,49.67761365,53.79016054,50.62547495,60.07779961,67.86358715,68.14297774,80.24631929,99.66514212,120.697159,128.2489234,112.9336628,133.2195774,131.7778432,160.0582258,161.6512633,119.7782444,166.3675525,273.7655995,525.9908313,441.0233316,738.0083138,1177.426875,1694.999632,2086.501438,2753.558225,4774.439764,7205.504354,8537.487931,10827.27864,16374.10439,11122.76045,13391.91949,17992.15232,19601.80428,18531.50934,GQ
Greece,7566.002,7646.718,7725.959,7805.207,7885.213,7965.998,8046.802,8126.135,8201.917,8271.724,8333.499,8386.326,8431.099,8470.808,8509.724,8551.005,8596.595,8646.013,8697.173,8746.781,8793.002,8833.582,8870.711,8912.166,8968.522,9046.544,9149.987,9274.357,9408.034,9534.673,9642.504,9728.22,9795.461,9848.045,9892.518,9934.292,9972.624,10007.304,10045.02,10094.241,10160.501,10246.749,10349.998,10462.357,10572.479,10671.809,10758.368,10833.632,10896.763,10947.724,10986.883,11012.931,11026.358,11031.728,11035.302,11041.642,11052.514,11066.884,11083.063,11098.149,11109.999,12523.85295,13907.67939,16093.73685,21300.04786,24162.56963,27212.48987,29715.02606,34493.22441,42200.03486,51953.51048,54205.01579,49913.52292,52069.14611,47125.85953,45791.59563,45595.91413,53761.14133,62596.95814,72716.79315,75485.71596,93347.17723,100261.2186,110822.6062,103759.4596,111192.406,130529.7135,138025.3042,134645.7758,135275.6877,139367.084,125933.8954,129840.6466,146056.3684,192842.8337,227950.4201,240075.6904,261712.6138,305431.9815,341594.1208,321015.9943,294222.8766,289886.9512,248424.2675,241720.741,GR
Guatemala,3146.073,3237.979,3331.086,3425.531,3521.478,3619.111,3718.642,3820.307,3924.356,4031.052,4140.636,4253.298,4369.153,4488.229,4610.494,4735.961,4864.495,4996.199,5131.566,5271.25,5415.616,5565.101,5719.315,5876.798,6035.549,6194.218,6352.074,6509.758,6668.975,6832.183,7001.101,7176.504,7357.73,7543.343,7731.21,7919.874,8108.903,8299.07,8491.594,8688.24,8890.329,9098.613,9312.915,9532.55,9756.398,9983.861,10214.623,10449.636,10691.09,10941.913,11204.183,11478.984,11765.738,12062.835,12367.8,12678.919,12995.374,13317.931,13648.307,13988.988,14341.576,1697.371547,1769.402863,1873.527334,2290.470964,2818.403439,3250.323879,3891.563037,4885.737801,5411.709026,6153.863341,7024.301145,7673.563593,7771.269434,8067.774569,8442.551349,9966.708979,7530.2914,6315.5772,6991.683926,7497.685494,6819.96507,8385.34546,9307.709833,10162.87616,11574.23663,13065.577,14070.10885,15855.17505,17289.95249,16329.75501,17195.62688,18702.8205,20776.54987,21917.5779,23965.28836,27211.21967,30231.12701,34113.08885,39136.28993,37733.81592,41338.15825,47654.67163,50388.42608,53796.61533,GT
Guam,59.65,60.261,60.872,61.471,62.058,62.645,63.256,63.925,64.698,65.623,66.741,68.073,69.607,71.289,73.048,74.827,76.611,78.409,80.219,82.042,83.88,85.728,87.585,89.463,91.381,93.354,95.386,97.476,99.628,101.846,104.131,106.486,108.911,111.405,113.961,116.576,119.232,121.924,124.677,127.525,130.482,133.553,136.696,139.82,142.806,145.562,148.06,150.306,152.275,153.951,155.328,156.417,157.241,157.823,158.194,158.401,158.429,158.331,158.31,158.621,159.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GU
Guinea-Bissau,518.171,532.699,547.466,561.985,575.867,588.815,600.637,611.233,620.598,628.801,635.956,642.182,647.572,652.18,656.056,659.368,661.811,663.719,666.641,672.62,682.966,698.632,718.837,741.03,761.613,778.096,789.452,796.727,802.025,808.46,818.28,832.141,849.298,868.908,889.592,910.336,930.962,951.816,973.017,994.816,1017.385,1040.717,1064.691,1089.235,1114.249,1139.667,1165.465,1191.672,1218.336,1245.53,1273.312,1301.748,1330.849,1360.559,1390.791,1421.515,1452.659,1484.337,1516.92,1550.905,1586.624,307.4843626,304.933171,356.9556243,439.8424857,483.3331073,555.8445701,500.362486,430.1358755,496.8265059,543.6553901,513.3541032,559.2841484,458.0491165,459.9469385,502.460608,454.6512595,504.7990946,546.8839716,517.3802911,568.0987842,608.5495494,647.6719626,669.3989611,699.3812865,736.7871747,785.3605048,587.6842649,462.7093967,354.3326016,386.7932373,371.2495607,394.2425905,418.0658991,468.4374621,524.173694,586.7918361,591.8298975,695.6063139,864.1077683,826.9693713,845.0347361,974.349585,908.0734859,1036.354472,GW
