FULLNAME,POPULATION1950,POPULATION1951,POPULATION1952,POPULATION1953,POPULATION1954,POPULATION1955,POPULATION1956,POPULATION1957,POPULATION1958,POPULATION1959,POPULATION1960,POPULATION1961,POPULATION1962,POPULATION1963,POPULATION1964,POPULATION1965,POPULATION1966,POPULATION1967,POPULATION1968,POPULATION1969,POPULATION1970,POPULATION1971,POPULATION1972,POPULATION1973,POPULATION1974,POPULATION1975,POPULATION1976,POPULATION1977,POPULATION1978,POPULATION1979,POPULATION1980,POPULATION1981,POPULATION1982,POPULATION1983,POPULATION1984,POPULATION1985,POPULATION1986,POPULATION1987,POPULATION1988,POPULATION1989,POPULATION1990,POPULATION1991,POPULATION1992,POPULATION1993,POPULATION1994,POPULATION1995,POPULATION1996,POPULATION1997,POPULATION1998,POPULATION1999,POPULATION2000,POPULATION2001,POPULATION2002,POPULATION2003,POPULATION2004,POPULATION2005,POPULATION2006,POPULATION2007,POPULATION2008,POPULATION2009,POPULATION2010,GDP1970,GDP1971,GDP1972,GDP1973,GDP1974,GDP1975,GDP1976,GDP1977,GDP1978,GDP1979,GDP1980,GDP1981,GDP1982,GDP1983,GDP1984,GDP1985,GDP1986,GDP1987,GDP1988,GDP1989,GDP1990,GDP1991,GDP1992,GDP1993,GDP1994,GDP1995,GDP1996,GDP1997,GDP1998,GDP1999,GDP2000,GDP2001,GDP2002,GDP2003,GDP2004,GDP2005,GDP2006,GDP2007,GDP2008,GDP2009,GDP2010,GDP2011,GDP2012,GDP2013,NAME
American Samoa,18.937,19.295,19.543,19.683,19.729,19.706,19.647,19.597,19.606,19.729,20.012,20.478,21.118,21.883,22.701,23.518,24.32,25.116,25.886,26.615,27.292,27.916,28.49,29.014,29.491,29.932,30.325,30.69,31.105,31.67,32.456,33.488,34.74,36.165,37.687,39.247,40.835,42.448,44.049,45.591,47.044,48.379,49.597,50.725,51.807,52.874,53.926,54.942,55.899,56.768,57.522,58.176,58.729,59.117,59.262,59.117,58.652,57.919,57.053,56.245,55.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AS
Austria,6937.818,6937.008,6939.536,6944.412,6951.103,6959.541,6970.153,6983.824,7001.812,7025.57,7056.28,7094.324,7138.841,7187.53,7237.199,7285.375,7330.863,7373.684,7414.024,7452.541,7489.485,7525.385,7559.317,7588.45,7609.054,7618.82,7616.5,7603.89,7585.517,7567.706,7555.154,7549.957,7551.369,7557.842,7566.601,7575.891,7584.216,7592.974,7606.57,7631.039,7670.001,7726.437,7797.197,7872.361,7938.225,7985.372,8009.345,8014.124,8009.051,8007.843,8020.262,8049.44,8091.804,8142.322,8193.157,8238.604,8277.393,8311.463,8342.129,8371.711,8401.924,15336.01311,17815.71624,22007.05459,29443.66869,35103.57982,39961.93218,42855.61688,51423.41708,61900.97724,73762.61957,81857.61894,70860.19559,71101.04724,71944.74166,67820.75577,69221.23587,98797.04564,123873.8287,133012.2462,132783.7402,166066.745,173371,194601.8539,189911.2819,203055.6025,240473.7455,236734.3651,212319.4136,217678.3772,216718.9312,196421.5371,196951.8841,212980.4198,260711.3909,299870.2452,314641.2227,334292.2466,386439.1028,427627.3827,397570.3827,389656.138,429099.5283,407575.1097,428321.9375,AT
Australia,8177.344,8417.64,8627.052,8821.938,9014.508,9212.824,9420.602,9637.408,9859.257,10079.604,10292.328,10494.911,10691.22,10892.7,11114.995,11368.011,11657.281,11975.795,12305.53,12621.24,12904.76,13150.591,13364.238,13552.19,13725.4,13892.674,14054.956,14211.657,14368.543,14532.401,14708.323,14898.018,15101.223,15318.246,15548.585,15791.043,16047.453,16316.143,16588.048,16851.083,17096.869,17321.654,17528.564,17724.669,17920.592,18124.234,18339.037,18563.442,18794.552,19027.438,19259.377,19487.257,19714.625,19953.121,20218.481,20520.736,20865.583,21246.274,21645.095,22037.143,22404.488,45214.40724,50462.78554,59389.68669,85798.50559,102254.1841,109072.046,117534.976,116458.293,135883.6413,150436.8933,173472.2268,202093.8325,192113.9471,192579.3797,206565.1961,182212.383,191649.6999,228002.7728,288701.9253,319986.6097,323813.9349,329582.923,326067.3032,317329.4527,362582.1224,392341.9191,435807.1677,437157.2979,389837.8908,426553.1146,409062.5531,389904.5356,435334.8501,559033.7119,678586.7281,762376.7316,818958.3969,986510.8602,1055759.835,1011024.266,1290335.054,1532880.255,1578010.327,1531282.108,AU
Aruba,38.066,38.263,38.965,40.149,41.763,43.727,45.933,48.242,50.499,52.535,54.208,55.435,56.226,56.697,57.029,57.36,57.712,58.049,58.385,58.724,59.065,59.438,59.849,60.239,60.525,60.655,60.589,60.366,60.106,59.978,60.096,60.567,61.344,62.204,62.831,63.028,62.644,61.835,61.077,61.032,62.148,64.623,68.235,72.498,76.7,80.326,83.195,85.447,87.276,89.004,90.858,92.894,94.995,97.015,98.742,100.031,100.83,101.219,101.344,101.418,101.597,176.6300235,186.0458447,195.963605,206.4100637,217.4134034,229.0033112,241.2110553,254.0695715,267.6135514,281.8795363,296.9060145,312.7335268,329.4047743,346.9647352,365.4607849,384.9428251,405.4634173,487.6024575,596.4236073,695.3043631,764.8871173,872.1387307,958.4632,1082.979708,1330.167598,1320.670391,1379.888268,1531.843575,1665.363128,1722.798883,1873.452514,1920.265652,1941.094724,2021.305585,2228.273743,2331.005587,2421.47486,2623.726257,2791.960894,2498.932961,2390.502793,2549.72067,2539.664804,2588.826816,AW
Azerbaijan,2895.997,2965.338,3045.429,3133.703,3228.233,3327.733,3431.597,3539.858,3653.083,3772.187,3897.889,4030.13,4167.558,4307.315,4445.653,4579.759,4708.485,4832.098,4950.977,5066.08,5178.16,5287.272,5393.176,5496.061,5596.16,5693.796,5789.05,5882.395,5975.045,6068.531,6163.99,6261.942,6362.289,6464.775,6568.857,6674.107,6779.97,6886.428,6994.139,7104.058,7216.503,7332.519,7450.92,7567.156,7675.128,7770.806,7852.273,7921.745,7984.46,8047.936,8117.742,8195.427,8279.768,8370.169,8465.127,8563.398,8665.006,8770.122,8877.669,8986.266,9094.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6522.271174,6692.204707,5297.837458,4170.947323,3422.468029,3080.965882,3176.55449,3962.337296,4446.396218,4581.222442,5272.617196,5707.618247,6236.045524,7276.413079,8680.410158,13245.42188,20981.9295,33049.42682,48851.31883,44292.40882,52905.99888,65952.76395,69679.91351,73556.63307,AZ
Bosnia and Herzegovina,2661.293,2733.997,2806.602,2877.935,2947.126,3013.602,3077.103,3137.669,3195.6,3251.384,3305.501,3358.202,3409.319,3458.189,3503.878,3545.862,3583.75,3618.161,3650.807,3684.024,3719.459,3757.982,3799.098,3841.44,3882.935,3922.171,3958.587,3992.93,4026.649,4061.827,4099.903,4138.16,4175.238,4215.148,4263.393,4321.966,4399.257,4489.555,4564.265,4584.734,4526.511,4373.715,4143.068,3882.548,3659.409,3520.996,3485.575,3535.998,3640.821,3752.004,3834.364,3879.353,3897.579,3895.779,3886.723,3879.828,3875.157,3868.665,3861.201,3853.446,3845.929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7754.759482,6115.682138,4734.635595,3630.671071,2802.072048,2042.857143,2749.733333,3783.961205,4229.832993,4686.255381,5553.35854,5799.622273,6727.070997,8498.889896,10154.54314,10903.57694,12550.59183,15440.8582,18711.93441,17264.99984,16847.04164,18317.96277,16905.895,17851.91636,BA
Barbados,210.995,215.685,219.607,222.772,225.223,227.03,228.297,229.153,229.758,230.276,230.858,231.599,232.514,233.52,234.478,235.294,235.936,236.466,236.997,237.68,238.616,239.864,241.367,242.971,244.453,245.663,246.536,247.136,247.592,248.095,248.784,249.696,250.78,251.979,253.193,254.354,255.45,256.5,257.497,258.443,259.336,260.175,260.963,261.714,262.441,263.165,263.884,264.606,265.37,266.22,267.19,268.296,269.524,270.844,272.205,273.568,274.923,276.277,277.634,279.006,280.396,215.8679719,242.6436804,277.5788447,338.6761737,404.9609168,476.0139205,516.6426735,587.6773445,657.765675,797.5283125,1023.526212,1126.499869,1177.010785,1249.583258,1362.020319,1425.365975,1565.010319,1723.344886,1833.061218,2027.001839,2034.75,2018.45,1950.9,2057.75,2163.45,2274.75,2425.5,2563.7,2890.7,3029.05,3119.5,3112.35,3168.6,3271.2,3509.7,3891.5,4314.05,4513.25,4541.55,4592.65,4433.7,4368.9,4224.85,4228.125212,BB
Bangladesh,37894.678,38976.478,39992.084,40994.309,42023.782,43108.942,44265.537,45497.131,46796.593,48148.604,49537.147,50953.503,52403.243,53909.233,55503.132,57200.412,59029.826,60966.588,62909.226,64719.958,66308.862,67627.868,68730.07,69751.017,70883.201,72265.173,73944.664,75880.084,78011.624,80241.773,82498.44,84764.142,87060.582,89399.666,91804.318,94287.722,96851.505,99476.987,102133.217,104779.345,107385.847,109934.59,112430.968,114897.543,117369.492,119869.585,122400.896,124945.315,127478.524,129966.823,132383.265,134729.503,137006.279,139185.986,141235.035,143135.18,144868.702,146457.067,147969.967,149503.1,151125.475,7121.68528,6411.386982,7144.531284,7783.830367,9296.774903,9742.51836,10859.15155,11436.42238,14656.48917,16963.72814,19229.28847,19503.51597,17750.89552,18115.82041,21234.80058,22033.713,23241.50193,26407.74329,28523.15985,30982.70129,32341.36451,34559.96167,35277.00969,36420.41086,38707.17357,43524.81521,45743.18472,47321.79432,49054.19651,51446.86985,52264.66425,52222.52239,54247.6468,59415.17369,64311.2519,66240.17123,69321.45763,78850.9483,91458.76319,102358.219,114586.334,123626.801,128899.3079,153504.9348,BD
Belgium,8628.489,8673.691,8721.192,8770.196,8820.161,8870.792,8922.069,8974.221,9027.679,9082.991,9140.563,9200.393,9261.828,9323.467,9383.443,9440.279,9493.656,9543.533,9589.107,9629.528,9664.32,9692.9,9715.673,9734.412,9751.592,9769.006,9787.576,9806.885,9825.779,9842.453,9855.747,9865.512,9872.709,9878.636,9885.088,9893.499,9903.895,9916.261,9931.873,9952.253,9978.241,10011.073,10049.941,10091.158,10129.627,10161.914,10186.767,10205.97,10222.896,10242.449,10268.38,10300.775,10338.969,10384.953,10440.977,10508.08,10587.731,10678.058,10772.572,10862.441,10941.288,26808.60664,29935.51374,37351.35249,47925.5793,56247.50043,65926.52952,71384.96151,83153.69317,101636.2449,116760.0146,127315.4835,105127.7073,92443.40859,87514.84833,83665.48096,86594.3666,120477.2072,149965.3559,162923.8614,164846.5996,206111.7152,211309.5709,235686.1747,225570.991,245827.2562,289126.3543,280785.4654,254096.0252,259816.9094,259659.0854,237336.0993,237395.1911,258401.8346,318561.0788,370461.3436,386944.9833,410678.1215,472284.546,520109.3495,485803.8839,484404.2716,528237.7491,498853.2596,524805.5252,BE
Burkina Faso,4284.457,4324.493,4367.137,4413.203,4463.165,4517.155,4574.942,4635.954,4699.342,4764.08,4829.291,4894.578,4960.325,5027.818,5098.892,5174.869,5256.363,5343.02,5434.04,5528.172,5624.597,5723.379,5825.171,5930.487,6040.044,6154.548,6274.037,6398.937,6530.82,6671.659,6822.84,6985.158,7158.256,7340.907,7531.244,7727.912,7930.69,8140.076,8356.306,8579.825,8811.033,9050.09,9297.116,9552.473,9816.586,10089.876,10372.562,10664.982,10967.836,11281.942,11607.944,11946.08,12296.399,12659.086,13034.258,13421.929,13822.257,14235.075,14659.646,15094.967,15540.284,450.0922222,459.4536314,586.6718781,678.9064762,747.7798048,889.5522114,852.9621714,1030.604827,1328.172095,1782.241534,1933.165643,1791.477576,1643.151434,1501.30334,1342.096835,1568.522911,2057.30973,2394.153141,2643.024618,2642.527923,3133.314718,3167.249552,3391.284425,3232.508008,1914.845381,2403.943866,2613.101565,2472.794485,2833.694893,3012.646768,2632.700088,2834.162162,3205.592273,4205.692842,4838.545336,5462.718534,5816.308138,6755.81976,8350.705923,8348.166978,8992.68451,10755.56148,11221.08618,12547.26932,BF
